"","ASV","s.Healthy Control","s.inflammation_no_surgery","s.inflammation_with_surgery","s.no_inflammation_no_surgery","s.no_inflammation_with_surgery","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","21bd78cd9b6f375f755f9dfc18fe86f2",1,0,0,1,0,8,0.954197569311204,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter",NA
"2","4e4abbe815c85701ae77ecf9fd3bc702",1,1,0,1,1,28,0.986270881769326,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"3","4c724a66250d4b7df2c1ec1327f497e4",1,1,0,1,0,17,0.873177143993137,0.02,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA
"4","c8164226bba504a5b3b562dcf668c0bb",1,1,0,1,0,17,0.906071634849836,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"5","4ce51f16d8ff9477e967d4a18a679209",1,1,0,1,0,17,0.953548838502433,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium"
"6","51c76082684b9ede8eb0be0631dc09de",1,1,1,1,0,26,0.936077276621108,0.03,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister",NA
"7","a5c4caa215030992b4ef28757309392d",1,1,0,1,0,17,0.960270474719349,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA
"8","2aa65c3d547af543184eef9178a65728",1,1,0,1,0,17,0.899493853967433,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_organism"
"9","7d24ffc8eb8226313fd5a493092d6853",1,1,0,1,0,17,0.982526433340121,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__Clostridium_chauvoei"
"10","1a5c25f5fe7c368dc1976e13e3003e22",1,1,0,1,0,17,0.877620120668994,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003",NA
"11","a7d57b1f7d6047cdd27889df35ad63b5",1,1,0,1,0,17,0.960338401879139,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
"12","3d66830b6306d630db430b63b5f7a467",1,1,0,1,0,17,0.940787599217704,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__gut_metagenome"
"13","599f9468ff7781407bff160b574e0ddf",1,1,0,1,0,17,0.957557311107717,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"14","2fcf3c1d34aff06dd96e71f8e9858e8f",1,0,0,1,0,8,0.944267484198039,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010",NA
"15","5b659c92c3442dcbc5926bfcac940ceb",1,0,0,1,0,8,0.880124691008478,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__[Eubacterium]_siraeum"
"16","17d294491c706b3f4bf05e2ecb1b4aa7",1,1,0,1,0,17,0.943166321542022,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism"
"17","4a89cac13e971f8e928f1e979fb707ae",1,1,0,1,0,17,0.933026842560713,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA
"18","c1a5986dd95b9ee50e347723be159d4d",1,1,0,1,0,17,0.98673950856179,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"19","f676fb863d1139641d306d0a2f07a14b",1,1,1,1,0,26,0.939508004044312,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus",NA
"20","86acaa700437671e9f8c38b903e9b0c1",1,1,0,1,0,17,0.916625521227514,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ventriosum_group","s__uncultured_rumen"
"21","c536cb40d0686dfe760ceab3b90146a2",1,0,0,1,0,8,0.878713892845105,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Moryella","s__human_gut"
"22","33f91e62a000ed593c352f0c7f976f8a",1,1,0,1,0,17,0.936845364536912,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_ND3007_group","s__metagenome"
"23","e679760656821248d941dcec0b1ca39e",1,1,0,1,0,17,0.958117633305646,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_eligens_group",NA
"24","f0143441c5a8a01ba31592825d9e47ef",1,1,0,1,0,17,0.94835750065203,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"25","5f3d16b803aaa2896227ae65b06ff9d5",1,1,1,1,0,26,0.899093122448507,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA
"26","34ecf8ad93a52ec913a59abaca0d39ca",1,1,0,1,0,17,0.878347279800533,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_Eubacterium"
"27","b91f30e253a2f78f0722bbdc236b9f8a",1,1,0,1,0,17,0.88727403372705,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group","s__uncultured_organism"
"28","d0f21126697b2318d28dd79e2ffe491b",1,1,0,1,0,17,0.960053344822427,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
